Time,Ligtag,Client,Coordinate system,,
2025-11-07 16:23:00 +0800,5519,1,431,,
2025-11-07 16:24:00 +0800,3477,1,435,,
2025-11-07 16:26:00 +0800,5519,1,431,,
2025-11-07 16:26:00 +0800,733,1,86,,
2025-11-07 16:27:00 +0800,3477,1,435,,
2025-11-07 16:33:00 +0800,3477,1,435,,
2025-11-07 16:43:00 +0800,960,1,334,,
2025-11-07 16:49:00 +0800,3515,1,277,,
2025-11-07 16:50:00 +0800,3515,1,277,,
2025-11-07 16:57:00 +0800,5519,1,431,,
2025-11-07 17:00:00 +0800,733,1,86,,
2025-11-07 17:00:00 +0800,3477,1,435,,
2025-11-07 17:11:00 +0800,733,1,86,,
2025-11-07 17:24:00 +0800,733,1,86,,
2025-11-07 17:29:00 +0800,733,1,86,,
2025-11-07 17:33:00 +0800,733,1,86,,
2025-11-07 17:34:00 +0800,733,1,86,,
2025-11-07 17:48:00 +0800,5519,1,431,,
2025-11-07 17:48:00 +0800,5519,1,431,,
2025-11-07 17:48:00 +0800,5519,1,431,,
2025-11-07 17:54:00 +0800,733,1,86,,
2025-11-07 17:57:00 +0800,733,1,86,,
2025-11-07 17:58:00 +0800,733,1,86,,
2025-11-07 18:08:00 +0800,5519,1,431,,
2025-11-07 18:11:00 +0800,733,1,86,,
2025-11-07 18:18:00 +0800,3477,1,435,,
2025-11-07 18:23:00 +0800,5519,1,431,,
2025-11-07 18:24:00 +0800,733,1,86,,
2025-11-07 18:26:00 +0800,733,1,86,,
2025-11-07 18:30:00 +0800,5519,1,431,,
2025-11-07 18:55:00 +0800,5519,1,431,,
2025-11-07 18:56:00 +0800,5519,1,431,,
2025-11-07 18:56:00 +0800,5519,1,431,,
2025-11-07 19:11:00 +0800,3477,1,435,,
2025-11-07 19:20:00 +0800,5519,1,431,,
2025-11-07 19:42:00 +0800,3477,1,435,,
2025-11-07 20:12:00 +0800,3477,1,435,,
2025-11-07 20:12:00 +0800,3477,1,435,,
2025-11-07 20:16:00 +0800,3477,1,435,,
2025-11-07 20:22:00 +0800,5519,1,431,,
2025-11-07 20:30:00 +0800,5519,1,431,,
2025-11-07 20:30:00 +0800,5519,1,431,,
2025-11-07 20:30:00 +0800,3477,1,435,,
2025-11-07 21:23:00 +0800,5519,1,431,,
2025-11-08 09:45:00 +0800,5519,1,431,,
2025-11-08 09:51:00 +0800,3477,1,435,,
2025-11-08 09:52:00 +0800,5519,1,431,,
2025-11-08 09:52:00 +0800,3477,1,435,,
2025-11-08 09:52:00 +0800,5519,1,431,,
2025-11-08 09:52:00 +0800,5519,1,431,,
2025-11-08 09:52:00 +0800,5519,1,431,,
2025-11-08 09:52:00 +0800,3477,1,435,,
2025-11-08 09:52:00 +0800,5519,1,431,,
2025-11-08 09:53:00 +0800,3477,1,435,,
2025-11-08 09:53:00 +0800,3477,1,435,,
2025-11-08 10:11:00 +0800,5519,1,431,,
2025-11-08 10:43:00 +0800,5519,1,431,,
2025-11-08 11:25:00 +0800,5519,1,431,,
2025-11-08 11:29:00 +0800,5519,1,431,,
2025-11-08 11:29:00 +0800,5519,1,431,,
2025-11-08 11:38:00 +0800,3477,1,435,,
2025-11-08 11:52:00 +0800,3477,1,435,,
2025-11-08 12:18:00 +0800,3477,1,435,,
2025-11-08 12:24:00 +0800,5519,1,431,,
2025-11-08 12:29:00 +0800,5519,1,431,,
2025-11-08 12:50:00 +0800,3477,1,435,,
2025-11-08 12:52:00 +0800,3477,1,435,,
2025-11-08 13:23:00 +0800,3477,1,435,,
2025-11-08 13:23:00 +0800,3477,1,435,,
2025-11-08 13:23:00 +0800,3477,1,435,,
2025-11-08 13:29:00 +0800,5519,1,431,,
2025-11-08 13:35:00 +0800,5519,1,431,,
2025-11-08 13:45:00 +0800,5128,1,159,,
2025-11-08 13:45:00 +0800,5128,1,159,,
2025-11-08 13:47:00 +0800,5128,1,159,,
2025-11-08 13:47:00 +0800,5128,1,159,,
2025-11-08 13:47:00 +0800,5128,1,159,,
2025-11-08 13:48:00 +0800,5128,1,159,,
2025-11-08 13:48:00 +0800,5128,1,159,,
2025-11-08 13:48:00 +0800,5128,1,159,,
2025-11-08 13:50:00 +0800,4680,1,436,,
2025-11-08 14:00:00 +0800,5519,1,431,,
2025-11-08 14:01:00 +0800,5519,1,431,,
2025-11-08 14:05:00 +0800,3477,1,435,,
2025-11-08 14:09:00 +0800,5128,1,159,,
2025-11-08 14:10:00 +0800,5128,1,159,,
2025-11-08 14:12:00 +0800,5519,1,431,,
2025-11-08 14:13:00 +0800,3313,1,159,,
2025-11-08 14:13:00 +0800,5519,1,431,,
2025-11-08 14:13:00 +0800,3313,1,159,,
2025-11-08 14:13:00 +0800,3313,1,159,,
2025-11-08 14:14:00 +0800,3477,1,435,,
2025-11-08 14:15:00 +0800,3313,1,159,,
2025-11-08 14:33:00 +0800,3313,1,159,,
2025-11-08 14:33:00 +0800,3313,1,159,,
2025-11-08 14:34:00 +0800,3313,1,159,,
2025-11-08 14:35:00 +0800,3313,1,159,,
2025-11-08 14:35:00 +0800,3313,1,159,,
2025-11-08 14:36:00 +0800,3313,1,159,,
2025-11-08 14:48:00 +0800,3477,1,435,,
2025-11-08 14:48:00 +0800,3477,1,435,,
2025-11-08 15:01:00 +0800,3509,1,441,,
2025-11-08 15:14:00 +0800,4680,1,436,,
2025-11-08 15:28:00 +0800,5519,1,431,,
2025-11-08 15:35:00 +0800,5519,1,431,,
2025-11-08 15:37:00 +0800,5519,1,431,,
2025-11-08 15:37:00 +0800,5519,1,431,,
2025-11-08 15:39:00 +0800,5519,1,431,,
2025-11-08 15:46:00 +0800,5128,1,159,,
2025-11-08 15:46:00 +0800,5128,1,159,,
2025-11-08 15:46:00 +0800,5128,1,159,,
2025-11-08 15:47:00 +0800,5128,1,159,,
2025-11-08 15:48:00 +0800,5128,1,159,,
